t,x,y,z,a
292967752524090,-0.23620605,-0.18258667,9.642181,3
292967757437420,-0.20747375,-0.19335938,9.682877,3
292967762381268,-0.23500061,-0.28193665,9.698441,3
292967767325115,-0.22901917,-0.20054626,9.675705,3
292967772238445,-0.24099731,-0.121536255,9.669708,3
292967777182293,-0.2529602,-0.22567749,9.626617,3
292967782095623,-0.19311523,-0.2184906,9.699646,3
292967787039471,-0.23260498,-0.22088623,9.685272,3
292967791952801,-0.20507812,-0.10597229,9.625427,3
292967796896648,-0.23860168,-0.16343689,9.631409,3
292967801809979,-0.23500061,-0.23405457,9.65535,3
292967806753826,-0.18353271,-0.21131897,9.733154,3
292967811667156,-0.2242279,-0.20892334,9.666122,3
292967816611004,-0.20149231,-0.1454773,9.678101,3
292967821554852,-0.2421875,-0.21730042,9.648163,3
292967826468182,-0.22901917,-0.23765564,9.625427,3
292967831412029,-0.19190979,-0.13349915,9.710419,3
292967836325359,-0.2421875,-0.16941833,9.688873,3
292967841269207,-0.20986938,-0.18977356,9.696045,3
292967846213055,-0.23860168,-0.22927856,9.663727,3
292967851126385,-0.19430542,-0.17660522,9.684082,3
292967856070232,-0.19789124,-0.12512207,9.720001,3
292967861014080,-0.24099731,-0.18617249,9.65654,3
292967865927410,-0.21466064,-0.19454956,9.646973,3
292967870840740,-0.2421875,-0.23286438,9.6349945,3
292967875784588,-0.17155457,-0.17060852,9.668518,3
292967880728436,-0.20028687,-0.15145874,9.644577,3
292967885641766,-0.22662354,-0.26039124,9.613449,3
292967890585613,-0.21585083,-0.19216919,9.685272,3
292967895529461,-0.24458313,-0.18019104,9.658936,3
292967900442791,-0.18832397,-0.1454773,9.664932,3
292967905386639,-0.23500061,-0.18856812,9.698441,3
292967910299969,-0.22782898,-0.27955627,9.662537,3
292967915243816,-0.16677856,-0.16343689,9.751114,3
292967920187664,-0.22543335,-0.18138123,9.666122,3
292967925100994,-0.21824646,-0.1742096,9.694855,3
292967930044842,-0.23620605,-0.21969604,9.651764,3
292967934958172,-0.21943665,-0.2579956,9.684082,3
292967939902020,-0.19430542,-0.13349915,9.743942,3
292967944815350,-0.25416565,-0.15625,9.657745,3
292967949759197,-0.22901917,-0.20173645,9.65535,3
292967954703045,-0.24099731,-0.24363708,9.668518,3
292967959646893,-0.18113708,-0.16583252,9.676895,3
292967964560223,-0.1954956,-0.099990845,9.670914,3
292967969504070,-0.2709198,-0.22567749,9.6744995,3
292967974417400,-0.20507812,-0.21969604,9.670914,3
292967979361248,-0.22782898,-0.21730042,9.687668,3
292967984274578,-0.19909668,-0.16583252,9.688873,3
292967989218426,-0.21105957,-0.14308167,9.693665,3
292967994131756,-0.2421875,-0.25201416,9.663727,3
292967999075604,-0.19670105,-0.1849823,9.692459,3
292968003988934,-0.24099731,-0.18019104,9.660141,3
292968008963299,-0.21943665,-0.14906311,9.682877,3
292968013907146,-0.21824646,-0.20892334,9.673309,3
292968018820477,-0.22064209,-0.28793335,9.690063,3
292968023764324,-0.18232727,-0.15504456,9.755905,3
292968028708172,-0.2697296,-0.16104126,9.652954,3
292968033652020,-0.23381042,-0.18258667,9.652954,3
