Magnificacao;Municao;Label;Circ;Round;df;AR;Mun;Nova classificacao;Classificacao numerica;Classificacao morfometrica
10000;7.62;GSR7.623-10ME497-1-attrFilt;0,631;0,971;8,86;1,030;3;Muito arredondado e Moderamente circular;2;Regular nao esferica
10000;7.62;GSR7.624-10ME2196-1-attrFilt;0,297;0,485;12,218;2,060;3;Sub arredondada e muito baixa circularidade;12;Irregular arredondada
10000;7.62;GSR7.625-1ME762-1-attrFilt;0,351;0,74;10,879;1,352;3;Muito arredondada  e muito baixa circularidade;4;Regular nao esferica
10000;7.62;GSR7.625-10ME26-1-attrFilt;0,471;0,651;8,22;1,536;3;Arredondada e baixa circularidade;7;Regular nao esferica
10000;7.62;GSR7.625-10ME301-1-attrFilt;0,404;0,922;7,605;1,085;3;Muito arredondada  e muito baixa circularidade;4;Regular nao esferica
10000;7.62;GSR7.625-10ME1178-1-attrFilt;0,438;0,541;7,527;1,849;3;Arredondada e muito baixa circularidade;8;Irregular
10000;7.62;GSR7.625-10ME1386-1-attrFilt;0,357;0,862;7,971;1,161;3;Muito arredondada  e muito baixa circularidade;4;Regular nao esferica
10000;7.62;GSR7.621-1-MD1291-1-attrFilt;0,483;0,553;7,986;1,807;3;Arredondada e baixa circularidade;7;Regular nao esferica
10000;7.62;GSR7.623-10-MD679-1-attrFilt;0,54;0,678;6,67;1,474;3;Arredondada e baixa circularidade;7;Regular Semi-esferica
10000;7.62;GSR7.62.3-10-MD285-1-attrFilt;0,643;0,957;7,401;1,045;3;Muito arredondado e Moderamente circular;2;Regular Semi-esferica
10000;7.62;GSR7-62-4-10MD351-1-attrFilt;0,378;0,775;7,366;1,291;3;Muito arredondada  e muito baixa circularidade;4;Regular nao esferica
10000;7.62;GSR7-62-4-10MD1095-1-attrFilt;0,281;0,54;12,096;1,852;3;Arredondada e muito baixa circularidade;8;Irregular
10000;7.62;GSR7-62-4-10MD1235-1-attrFilt;0,379;0,64;8,499;1,562;3;Arredondada e muito baixa circularidade;8;Regular nao esferica
10000;7.62;GSR7-62-4-10MD1791-1-attrFilt;0,265;0,473;12,833;2,114;3;Sub arredondada e muito baixa circularidade;12;Irregular arredondada
10000;7.62;GSR7-62-4-10MD2749-1-attrFilt;0,504;0,633;10,839;1,580;3;Arredondada e baixa circularidade;7;Regular Semi-esferica
10000;7.62;GSR7-62-4-10MD3206-1-attrFilt;0,649;0,785;5,966;1,274;3;Muito arredondado e Moderamente circular;2;Regular nao esferica
10000;7.62;GSR7-62-4-10MD3646-1-attrFilt;0,535;0,719;8,502;1,390;3;Muito arredondada e baixa circularidade;3;Regular nao esferica
10000;7.62;GSR7-62-4-10MD3803-1-attrFilt;0,227;0,633;10,729;1,580;3;Arredondada e muito baixa circularidade;8;Irregular arredondada
10000;9;GSR9mm2-1MD77-1-attrFilt;0,575;0,912;11,122;1,097;4;Muito arredondada e baixa circularidade;3;Regular nao esferica
10000;9;GSR9mm2-1MD139-1-attrFilt;0,713;0,759;9,716;1,318;4;Muito arredondada e muito circular;1;Regular esferica
10000;9;GSR9mm2-1MD431-1-attrFilt;0,661;0,665;7,855;1,504;4;Arredondada e Moderadamente circular;6;Regular Semi-esferica
10000;9;GSR9mm2-1MD473-1-attrFilt;0,532;0,94;6,955;1,064;4;Muito arredondada e baixa circularidade;3;Regular nao esferica
10000;9;GSR9mm2-1MD521-1-attrFilt;0,618;0,705;10,827;1,419;4;Muito arredondado e Moderamente circular;2;Regular nao esferica
10000;9;GSR9mm2-1MD32-1-attrFilt;0,682;0,932;6,652;1,073;4;Muito arredondado e Moderamente circular;2;Regular nao esferica
10000;9;GSR9mm2-1MD132-1-attrFilt;0,703;0,784;9,49;1,276;4;Muito arredondada e muito circular;1;Regular esferica
