t;x;y;z;a
292013795379004;0.0020141602;8.977631;2.9970703;3
292013800322852;-0.04347229;8.85553;2.9611664;3
292013805236182;-0.0362854;8.729828;3.1251678;3
292013810180029;0.079833984;8.667587;3.425644;3
292013815123877;0.35157776;8.614914;3.8242645;3
292013820067725;0.6245117;8.58139;4.1522827;3
292013825011572;0.8016815;8.483231;4.670624;3
292013829955420;0.9034424;8.346756;5.2583923;3
292013834868750;0.91900635;8.270142;5.777939;3
292013839812598;0.83280945;8.258179;6.1478424;3
292013844756446;0.6759949;8.195923;6.477051;3
292013849700293;0.416214;7.9217834;6.834976;3
292013854644141;0.24623108;7.7398224;6.995392;3
292013859587988;0.27017212;7.6213226;6.987015;3
292013864531836;0.574234;7.413025;6.8637085;3
292013869445166;0.80288696;7.235855;6.5835876;3
292013874389014;0.7394409;7.1388855;6.6709747;3
292013879332862;0.6149292;7.183182;7.256363;3
292013884276709;0.5921936;7.2370453;7.130661;3
292013889220557;0.5634613;7.3723145;6.77153;3
292013894133887;0.46290588;7.4429474;6.358536;3
292013899108252;0.33003235;7.460907;5.8904724;3
292013904052100;0.35516357;7.69075;5.320648;3
292013908995947;0.39108276;7.956497;4.5078125;3
292013913939795;0.39945984;8.076218;3.738083;3
292013918853125;0.61972046;8.240219;3.1718597;3
292013923796973;0.8352051;8.30127;2.7253265;3
292013928740821;1.1584167;8.297684;2.5302124;3
292013933654151;1.5331116;8.320419;2.4033203;3
292013938597998;1.752182;8.337189;2.4559784;3
292013943541846;1.7892914;8.473648;2.805542;3
292013948485694;1.7462006;8.578995;3.267624;3
292013953429541;1.7713318;8.745392;3.6578827;3
292013958342871;2.0155487;9.012344;3.9451752;3
292013963317237;2.3387604;9.363098;4.328247;3
292013968261084;2.582962;9.84314;4.9782715;3
292013973174414;2.1376495;9.0841675;5.1949463;3
292013978118262;1.9951935;8.691528;5.1793976;3
292013983062110;2.0119476;8.680756;5.5277405;3
292013987975440;1.7557678;8.419785;6.043701;3
292013992949805;1.4241791;8.113327;6.4243774;3
292013997893653;1.2589722;7.974457;6.572815;3
292014002837500;1.1895447;7.9265747;6.522537;3
292014007750830;1.3260193;7.963684;6.383667;3
292014012694678;1.6384583;8.053467;6.169388;3
292014017608008;1.9125977;8.154022;5.908432;3
292014022551856;2.0358887;8.152832;5.494232;3
292014027495703;2.1148987;8.162399;4.941162;3
292014032439551;2.0945587;8.167191;4.517395;3
292014037383399;1.9820251;8.114517;4.263611;3
292014042327246;1.8539276;8.100159;4.2815704;3
292014047271094;1.8287964;8.101349;4.4647217;3
292014052214942;1.7845001;8.152832;4.8430023;3
292014057158789;1.7390137;8.261765;5.324234;3
292014062102637;1.6647949;8.303665;5.7408295;3
292014067046485;1.5690308;8.373093;6.0652466;3
292014071990332;1.5247345;8.405411;6.2029114;3
292014076934180;1.4193878;8.290497;6.1945343;3
292014081847510;1.2853088;8.017563;5.9934235;3
292014086791358;1.2529907;7.730255;5.552887;3
292014091735205;1.4517059;7.414215;4.9543304;3
292014096679053;1.7904816;7.2131042;4.374939;3
292014101622901;1.9987793;7.476471;3.8518066;3
292014106566748;2.0610352;7.9110107;3.5238037;3
292014111510596;2.001175;8.20311;3.2831879;3
292014116423926;1.9485016;8.38028;2.9527893;3
292014121367774;1.8766785;8.4951935;2.6211853;3
292014126311621;1.8264008;8.513153;2.4033203;3
292014131255469;1.791687;8.552658;2.3566284;3
292014136199317;1.6671906;8.547867;2.3674011;3
292014141112647;1.4217834;8.414993;2.426056;3
292014146056494;0.9441376;8.059448;2.5481567;3
292014151000342;0.41860962;7.706314;2.9611664;3
292014155944190;0.13609314;7.6488495;3.3334656;3
292014160888037;0.010406494;7.7601776;3.4902802;3
292014165831885;-0.02192688;7.9421387;3.2795868;3
292014170775733;-0.05783081;8.061844;2.7528687;3
292014175719580;-0.25775146;7.9696655;2.3913422;3
292014180632910;-0.63005066;7.7793274;2.3290863;3
292014185576758;-0.821579;7.738632;2.4332428;3
292014190520606;-0.6539917;7.872711;2.4607697;3
292014195464453;-0.34274292;8.161209;2.2369232;3
292014200408301;-0.17874146;8.505966;2.0609436;3
292014205352149;-0.21585083;8.768143;2.0154572;3
292014210265479;-0.4073944;8.963272;1.9711609;3
292014215209326;-0.7736969;8.978821;1.6742859;3
292014220153174;-1.3243713;8.816025;1.3821869;3
292014225097022;-1.5709686;8.494003;1.0505829;3
292014230040869;-1.9504547;8.100159;0.79081726;3
292014234984717;-2.5705566;7.6368713;0.8925781;3
292014239928565;-3.0398102;7.359146;1.3283234;3
292014244872412;-3.193039;7.508789;1.7544861;3
292014249816260;-3.2301483;7.694336;2.3398743;3
292014254760108;-3.1284027;7.8080597;3.086853;3
292014259673438;-2.8590546;7.893051;3.4388123;3
292014264617285;-2.4687958;7.812851;3.6219635;3
292014269561133;-2.0929108;7.584198;4.0122223;3
292014274504981;-1.821167;7.362747;4.5940094;3
