t;x;y;z;a;;;;
2,93207E+14;0.4988098;7.436.966;13.319.092;3;;1654638161526;;
2,93207E+14;0.70710754;75.578.766;1.315.155;3;;1654638161531;;
2,93207E+14;0.79689026;7.620.117;14.719.696;3;;1654638161536;;
2,93207E+14;0.8304138;76.560.364;17.437.134;3;;1654638161541;;
2,93207E+14;0.8986511;7.717.087;202.742;3;;1654638161546;;
2,93207E+14;10.303.345;77.350.464;22.728.271;3;;1654638161551;;
2,93207E+14;11.452.484;7.793.701;24.667.664;3;;1654638161556;;
2,93207E+14;12.398.224;78.272.095;27.073.822;3;;1654638161561;;
2,93207E+14;13.236.237;78.463.745;28.630.066;3;;1654638161566;;
2,93207E+14;13.559.418;78.391.876;30.246.124;3;;1654638161570;;
2,93207E+14;12.709.503;78.391.876;3.307.129;3;;1654638161575;;
2,93207E+14;11.727.905;7.757.782;36.327.362;3;;1654638161580;;
2,93207E+14;11.248.932;77.039.185;3.967.926;3;;1654638161585;;
2,93207E+14;11.775.665;77.482.147;426.001;3;;1654638161590;;
2,93207E+14;13.355.865;7.796.097;41.642.456;3;;1654638161595;;
2,93207E+14;1.523.529;76.811.676;38.398.285;3;;1654638161600;;
2,93207E+14;17.438.049;74.357.605;32.664.185;3;;1654638161605;;
2,93207E+14;20.071.564;7.105.362;26.187.897;3;;1654638161610;;
2,93208E+14;25.183.258;67.917.175;20.226.288;3;;1654638161615;;
2,93208E+14;32.090.454;65.151.978;12.816.315;3;;1654638161620;;
2,93208E+14;3.942.871;62.649.994;0.3742218;3;;1654638161625;;
2,93208E+14;46.922.607;6.109.375;-0.3811493;3;;1654638161630;;
2,93208E+14;53.758.087;5.947.769;-0.9701233;3;;1654638161635;;
2,93208E+14;6.056.961;57.825.623;-11.173.553;3;;1654638161640;;
2,93208E+14;6.793.167;5.567.093;-0.941391;3;;1654638161645;;
2,93208E+14;7.570.099;52.725.983;-0.49247742;3;;1654638161649;;
2,93208E+14;8.256.027;4.851.227;0.03665161;3;;1654638161654;;
2,93208E+14;8.701.355;4.366.394;0.7561035;3;;1654638161659;;
2,93208E+14;91.706.085;4.086.273;15.078.888;3;;1654638161664;;
2,93208E+14;9.922.394;4.009.659;252.063;3;;1654638161669;;
2,93208E+14;10.681.351;39.378.357;3.466.339;3;;1654638161674;;
2,93208E+14;11.532.501;38.743.896;439.769;3;;1654638161679;;
2,93208E+14;12.194.489;37.822.113;49.926.453;3;;1654638161684;;
2,93208E+14;12.682.907;35.822.906;5.496.628;3;;1654638161689;;
2,93208E+14;13.007.324;35.140.686;55.002.136;3;;1654638161694;;
2,93208E+14;13.336.533;34.841.309;5.497.818;3;;1654638161699;;
2,93208E+14;13.541.229;35.739.136;53.374.023;3;;1654638161704;;
2,93208E+14;13.672.913;3.681.656;50.010.223;3;;1654638161709;;
2,93208E+14;13.722;37.187.653;46.502.686;3;;1654638161714;;
2,93208E+14;13.710.022;37.834.167;4.255.234;3;;1654638161719;;
2,93208E+14;13.653.763;38.516.388;38.482.208;3;;1654638161724;;
2,93208E+14;13.550.812;39.833.221;33.777.466;3;;1654638161729;;
2,93208E+14;13.226.395;39.557.953;29.623.566;3;;1654638161733;;
2,93208E+14;128.517;3.903.122;27.492.828;3;;1654638161738;;
2,93208E+14;12.559.601;4.148.529;27.564.545;3;;1654638161743;;
2,93208E+14;12.295.044;4.323.303;28.582.153;3;;1654638161748;;
2,93208E+14;11.885.635;4.279.007;29.252.472;3;;1654638161753;;
2,93208E+14;1.129.068;4.052.765;29.779.205;3;;1654638161758;;
2,93208E+14;10.671.783;38.851.624;29.276.428;3;;1654638161763;;
2,93208E+14;1.014.386;38.672.028;28.797.607;3;;1654638161768;;
2,93208E+14;9.769.165;39.689.636;2.880.951;3;;1654638161773;;
2,93208E+14;9.425.598;3.978.531;28.330.688;3;;1654638161778;;
